TITLE	100% S-JS after 24hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/19
TIME	11:55:53
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     0.42414
MAXY	    32.15574
MINY	   -28.46987
XYDATA
Channel 1
	0	1
495	-8.31848	-6.73106
494	-9.68207	-7.77202
493	-10.5059	-9.56321
492	-11.4034	-10.9996
491	-12.3969	-13.1177
490	-13.5817	-14.8161
489	-14.711	-15.7545
488	-17.0001	-17.2581
487	-18.5283	-18.1714
486	-19.7823	-19.5539
485	-20.4023	-20.4221
484	-22.068	-21.3149
483	-22.7522	-22.1019
482	-23.4724	-23.0592
481	-23.8393	-23.4256
480	-24.0452	-23.7221
479	-25.2359	-24.6507
478	-25.7574	-25.0181
477	-25.5489	-25.7532
476	-26.4751	-26.3122
475	-26.5657	-26.8754
474	-27.2328	-26.7384
473	-28.1348	-27.047
472	-27.9703	-27.9853
471	-27.5068	-28.4059
470	-27.7536	-28.4214
469	-28.4699	-28.3095
468	-28.1015	-28.2912
467	-28.0936	-28.6996
466	-27.8731	-28.408
465	-27.6923	-28.3297
464	-28.0237	-27.9912
463	-28.2988	-27.2968
462	-28.2574	-27.3197
461	-27.7326	-26.9319
460	-27.868	-26.8519
459	-27.4786	-26.1571
458	-27.0218	-26.2527
457	-25.8955	-25.5072
456	-25.5866	-25.5596
455	-24.7085	-25.1583
454	-23.6405	-24.1179
453	-22.8274	-23.2738
452	-21.9707	-22.6428
451	-21.0867	-21.712
450	-20.6249	-21.1139
449	-20.2318	-20.7138
448	-19.9108	-19.8586
447	-19.2846	-19.3826
446	-18.6997	-19.1733
445	-18.0405	-18.7213
444	-17.5179	-18.6009
443	-17.1976	-17.942
442	-16.6227	-17.4654
441	-16.3278	-16.708
440	-15.8237	-16.1402
439	-15.1202	-15.25
438	-14.4364	-14.5266
437	-13.8553	-14.017
436	-13.3891	-13.1789
435	-12.4815	-12.5531
434	-11.6759	-11.2976
433	-11.057	-10.6132
432	-10.5139	-10.1788
431	-10.0213	-9.6924
430	-9.65597	-9.22355
429	-9.12489	-8.64691
428	-8.20217	-7.88056
427	-8.06724	-7.62372
426	-7.83733	-7.34626
425	-7.71248	-7.21499
424	-7.14541	-6.71609
423	-6.38272	-6.21083
422	-5.95152	-5.77689
421	-5.40439	-5.1421
420	-5.09385	-4.88773
419	-4.90231	-4.53326
418	-4.46685	-4.09542
417	-3.88278	-3.38852
416	-3.35261	-3.30445
415	-3.13069	-3.16614
414	-2.97557	-3.20911
413	-2.7605	-2.98573
412	-2.50718	-2.70092
411	-2.44079	-2.58443
410	-2.22394	-2.52768
409	-2.05667	-2.37434
408	-2.02536	-2.77059
407	-2.08059	-2.60283
406	-1.93913	-2.2608
405	-1.94913	-2.16319
404	-1.98478	-1.96627
403	-1.8389	-1.62249
402	-1.75036	-1.51764
401	-1.54002	-1.36686
400	-1.47637	-1.03626
399	-1.43146	-0.884642
398	-1.55274	-1.02759
397	-1.31824	-1.05668
396	-1.14707	-0.936952
395	-1.11147	-1.02899
394	-1.06908	-0.954953
393	-1.28	-1.04549
392	-1.06805	-1.04118
391	-0.944722	-0.91253
390	-1.29419	-1.00859
389	-1.12726	-0.630302
388	-1.16761	-0.723764
387	-1.06694	-0.771824
386	-0.838315	-0.467286
385	-0.89841	-0.687487
384	-1.00159	-0.507115
383	-0.965583	-0.548637
382	-0.741966	-0.28457
381	-0.73726	-0.398998
380	-0.358685	-0.111068
379	-0.377224	-0.0610952
378	-0.244812	-0.116991
377	-0.403466	-0.0378913
376	-0.104339	-0.196604
375	-0.195499	-0.213199
374	-0.26014	-0.262481
373	-0.314935	-0.0920947
372	-0.472937	-0.495576
371	-0.462244	-0.322535
370	-0.391476	-0.575337
369	-0.405562	-0.610761
368	-0.503626	-0.384684
367	-0.502626	-0.301241
366	-0.100383	0.102449
365	0.0372694	0.0364436
364	0.20858	0.255536
363	0.440531	0.476879
362	0.568345	0.613412
361	0.914603	0.921458
360	0.846081	1.02054
359	1.07986	1.36752
358	1.22298	1.59298
357	1.32931	1.67345
356	1.78589	1.95834
355	1.85428	2.13529
354	1.75764	2.35649
353	2.17206	2.68344
352	2.11455	2.71721
351	2.33645	2.83689
350	2.36879	2.96541
349	2.35489	2.74434
348	2.32126	3.00715
347	2.36012	3.09196
346	2.59905	2.95755
345	2.54693	2.86062
344	2.60651	3.01685
343	2.65031	2.73563
342	2.59758	2.46719
341	2.71288	2.68883
340	2.60698	2.49177
339	2.50332	2.58092
338	2.19121	2.53949
337	2.2302	2.52575
336	2.21756	2.37888
335	2.71875	2.36446
334	2.13704	2.33604
333	2.35246	2.42057
332	2.41508	2.36278
331	2.54655	2.2278
330	2.57329	2.07274
329	2.70606	2.1755
328	2.31656	1.99745
327	2.12628	1.7943
326	2.29782	1.96122
325	2.2303	2.00876
324	2.15477	2.0875
323	1.89309	2.1237
322	1.76583	2.20597
321	1.62213	2.15064
320	1.71807	1.87231
319	1.57892	1.91145
318	1.50996	1.85426
317	1.51754	1.74828
316	1.29424	1.35296
315	1.24161	0.755873
314	0.998008	0.774045
313	0.509263	0.0139
312	0.25253	-0.133104
311	-0.0843918	-0.2871
310	-0.345464	-0.545737
309	-0.606012	-0.844258
308	-0.954392	-0.956077
307	-1.2537	-1.01094
306	-1.40135	-1.18303
305	-1.40745	-1.50353
304	-1.75402	-1.63282
303	-2.12312	-1.71124
302	-2.49863	-2.23541
301	-3.04873	-2.65138
300	-3.2271	-2.86513
Channel 4
	0	1
700	0.424136	0.554093
699	0.661141	0.5663
698	0.434983	0.533973
697	-0.0927021	0.186091
696	-0.496443	-0.374695
695	-0.768752	-0.563104
694	-0.761463	-0.804816
693	-0.891179	-1.05773
692	-1.50464	-1.52613
691	-1.65451	-1.76329
690	-1.77329	-1.68294
689	-1.58497	-1.61746
688	-1.7129	-1.40664
687	-1.56623	-1.50981
686	-1.69181	-1.49574
685	-2.13511	-1.52134
684	-1.89354	-1.20401
683	-1.58871	-0.660664
682	-1.37158	-0.707511
681	-1.65301	-0.739565
680	-1.43108	-0.738953
679	-1.55431	-0.735181
678	-1.18648	-0.205302
677	-0.752556	0.141693
676	-0.504256	0.156803
675	-0.701818	-0.236927
674	-1.03287	-0.0258161
673	-1.00306	-0.0546286
672	-1.09601	-0.181458
671	-1.38264	-0.581563
670	-1.55423	-0.665561
669	-1.49121	-0.511228
668	-1.55654	-0.882564
667	-1.48872	-1.11127
666	-1.14795	-1.11311
665	-0.680312	-0.946594
664	-0.205103	-0.66951
663	-0.0460377	-0.456844
662	0.218881	0.0107623
661	-0.275132	-0.390473
660	0.00669416	0.278929
659	0.142719	0.617463
658	0.515378	0.804236
657	0.133023	0.59476
656	0.289989	0.839851
655	0.0992111	0.893176
654	-0.0636263	0.390333
653	0.321048	-0.0585341
652	0.369641	-0.0891868
651	0.613492	-0.114135
650	0.477976	-0.102754
649	0.340164	-0.368287
648	0.236362	-0.59175
647	0.568974	-0.113093
646	0.905111	0.224673
645	0.761202	0.483429
644	0.784248	0.361131
643	0.75806	0.479085
642	0.219577	-0.360279
641	0.114314	-0.142026
640	-0.0272269	-0.0777865
639	-0.254129	-0.251746
638	-0.326131	-0.688055
637	-0.744202	-1.20092
636	-1.061	-1.06303
635	-1.68833	-1.21218
634	-1.50384	-1.01769
633	-1.38998	-0.751584
632	-1.02441	-0.387948
631	-0.678894	-0.10988
630	-0.806494	-0.247124
629	-0.434355	-0.0427849
628	-0.505565	0.314546
627	0.257101	0.336108
626	0.199398	0.625187
625	-0.0959453	-0.00281205
624	-0.399537	-0.230854
623	-0.655584	-0.878455
622	-0.841599	-0.977135
621	-0.668679	-0.874087
620	-0.393634	-0.80818
619	-0.50676	-0.824365
618	-0.632083	-0.829087
617	-0.229256	-0.647177
616	0.0558481	-0.355448
615	0.265875	-0.327226
614	0.661799	-0.0233544
613	1.01003	0.350009
612	1.12338	0.458228
611	1.25813	0.323426
610	1.89982	0.204421
609	1.39425	0.28225
608	1.38249	0.293245
607	1.17594	-0.111825
606	0.947772	0.38357
605	0.648688	0.00384125
604	0.496482	0.317192
603	-0.196733	0.0846245
602	-0.248354	0.180014
601	-0.566535	-0.0352728
600	-0.660236	0.509247
599	-0.502297	0.515899
598	0.162175	0.927553
597	0.0601979	0.75351
596	0.260825	0.86007
595	0.624027	1.00435
594	0.923227	0.979669
593	1.70622	1.36783
592	1.93038	1.10331
591	1.38654	1.08273
590	1.48202	0.868028
589	1.64092	1.17523
588	1.44029	0.907513
587	1.97695	1.20616
586	2.25604	1.72031
585	2.32798	2.41268
584	2.80036	2.96234
583	4.19798	4.20268
582	4.75209	5.02166
581	5.68388	5.71103
580	6.9084	7.32133
579	7.64119	8.91459
578	8.49446	10.3302
577	10.5601	11.686
576	12.0455	12.9928
575	13.3143	14.59
574	15.1667	16.1123
573	16.7574	17.7717
572	18.6091	19.6888
571	20.7138	20.9884
570	22.9246	22.0734
569	24.4599	24.1252
568	26.6159	26.0177
567	28.4193	27.7869
566	29.942	29.2192
565	30.67	30.38
564	31.3252	31.1784
563	31.5513	31.9298
562	32.1487	32.1402
561	32.1557	31.8114
560	30.2991	30.8832
559	29.6238	29.6299
558	27.9079	28.3453
557	27.3143	26.7303
556	26.4955	25.2618
555	24.6711	23.5567
554	23.4228	22.1378
553	21.793	20.857
552	20.8232	20.1509
551	19.5652	18.851
550	19.3916	18.1591
549	19.0416	18.026
548	18.6006	18.4515
547	18.3066	18.7592
546	18.9234	18.8476
545	19.4074	19.0115
544	19.9533	19.467
543	20.2125	20.1659
542	20.5211	20.856
541	21.0328	21.3845
540	21.5011	21.8461
539	22.1498	21.9389
538	22.6115	21.857
537	22.5127	22.7667
536	23.6133	23.7354
535	24.3268	24.2257
534	25.0903	24.5145
533	25.3485	25.0146
532	25.1383	24.7504
531	24.8766	25.2736
530	24.3589	25.0933
529	23.9913	25.5556
528	23.5729	25.2836
527	21.6833	25.3653
526	20.7536	24.1398
525	19.6962	22.329
524	19.1205	21.1526
523	18.1186	19.6314
522	16.9903	18.4897
521	16.0072	17.1148
520	14.5183	14.783
519	12.7261	12.3391
518	11.904	10.9224
517	10.5146	9.99834
516	9.14917	8.58865
515	8.68573	8.09719
514	7.26615	6.77599
513	6.28894	5.60152
512	5.20327	5.37948
511	4.64484	5.35096
510	3.49017	3.88337
509	3.07573	3.08119
508	1.49946	2.01442
507	0.698932	1.6259
506	0.367004	1.43444
505	-0.493244	0.58752
504	-0.921959	-0.370681
503	-2.05264	-1.67418
502	-2.19047	-2.28898
501	-3.52795	-2.30093
500	-3.94664	-2.54698
499	-5.29342	-2.71299
498	-6.53118	-3.86706
497	-7.77998	-5.49543
496	-7.66787	-5.71218
495	-8.31848	-6.73106
494	-9.68207	-7.77202
493	-10.5059	-9.56321
492	-11.4034	-10.9996
491	-12.3969	-13.1177
490	-13.5817	-14.8161
489	-14.711	-15.7545
488	-17.0001	-17.2581
487	-18.5283	-18.1714
486	-19.7823	-19.5539
485	-20.4023	-20.4221
484	-22.068	-21.3149
483	-22.7522	-22.1019
482	-23.4724	-23.0592
481	-23.8393	-23.4256
480	-24.0452	-23.7221
479	-25.2359	-24.6507
478	-25.7574	-25.0181
477	-25.5489	-25.7532
476	-26.4751	-26.3122
475	-26.5657	-26.8754
474	-27.2328	-26.7384
473	-28.1348	-27.047
472	-27.9703	-27.9853
471	-27.5068	-28.4059
470	-27.7536	-28.4214
469	-28.4699	-28.3095
468	-28.1015	-28.2912
467	-28.0936	-28.6996
466	-27.8731	-28.408
465	-27.6923	-28.3297
464	-28.0237	-27.9912
463	-28.2988	-27.2968
462	-28.2574	-27.3197
461	-27.7326	-26.9319
460	-27.868	-26.8519
459	-27.4786	-26.1571
458	-27.0218	-26.2527
457	-25.8955	-25.5072
456	-25.5866	-25.5596
455	-24.7085	-25.1583
454	-23.6405	-24.1179
453	-22.8274	-23.2738
452	-21.9707	-22.6428
451	-21.0867	-21.712
450	-20.6249	-21.1139
449	-20.2318	-20.7138
448	-19.9108	-19.8586
447	-19.2846	-19.3826
446	-18.6997	-19.1733
445	-18.0405	-18.7213
444	-17.5179	-18.6009
443	-17.1976	-17.942
442	-16.6227	-17.4654
441	-16.3278	-16.708
440	-15.8237	-16.1402
439	-15.1202	-15.25
438	-14.4364	-14.5266
437	-13.8553	-14.017
436	-13.3891	-13.1789
435	-12.4815	-12.5531
434	-11.6759	-11.2976
433	-11.057	-10.6132
432	-10.5139	-10.1788
431	-10.0213	-9.6924
430	-9.65597	-9.22355
429	-9.12489	-8.64691
428	-8.20217	-7.88056
427	-8.06724	-7.62372
426	-7.83733	-7.34626
425	-7.71248	-7.21499
424	-7.14541	-6.71609
423	-6.38272	-6.21083
422	-5.95152	-5.77689
421	-5.40439	-5.1421
420	-5.09385	-4.88773
419	-4.90231	-4.53326
418	-4.46685	-4.09542
417	-3.88278	-3.38852
416	-3.35261	-3.30445
415	-3.13069	-3.16614
414	-2.97557	-3.20911
413	-2.7605	-2.98573
412	-2.50718	-2.70092
411	-2.44079	-2.58443
410	-2.22394	-2.52768
409	-2.05667	-2.37434
408	-2.02536	-2.77059
407	-2.08059	-2.60283
406	-1.93913	-2.2608
405	-1.94913	-2.16319
404	-1.98478	-1.96627
403	-1.8389	-1.62249
402	-1.75036	-1.51764
401	-1.54002	-1.36686
400	-1.47637	-1.03626
399	-1.43146	-0.884642
398	-1.55274	-1.02759
397	-1.31824	-1.05668
396	-1.14707	-0.936952
395	-1.11147	-1.02899
394	-1.06908	-0.954953
393	-1.28	-1.04549
392	-1.06805	-1.04118
391	-0.944722	-0.91253
390	-1.29419	-1.00859
389	-1.12726	-0.630302
388	-1.16761	-0.723764
387	-1.06694	-0.771824
386	-0.838315	-0.467286
385	-0.89841	-0.687487
384	-1.00159	-0.507115
383	-0.965583	-0.548637
382	-0.741966	-0.28457
381	-0.73726	-0.398998
380	-0.358685	-0.111068
379	-0.377224	-0.0610952
378	-0.244812	-0.116991
377	-0.403466	-0.0378913
376	-0.104339	-0.196604
375	-0.195499	-0.213199
374	-0.26014	-0.262481
373	-0.314935	-0.0920947
372	-0.472937	-0.495576
371	-0.462244	-0.322535
370	-0.391476	-0.575337
369	-0.405562	-0.610761
368	-0.503626	-0.384684
367	-0.502626	-0.301241
366	-0.100383	0.102449
365	0.0372694	0.0364436
364	0.20858	0.255536
363	0.440531	0.476879
362	0.568345	0.613412
361	0.914603	0.921458
360	0.846081	1.02054
359	1.07986	1.36752
358	1.22298	1.59298
357	1.32931	1.67345
356	1.78589	1.95834
355	1.85428	2.13529
354	1.75764	2.35649
353	2.17206	2.68344
352	2.11455	2.71721
351	2.33645	2.83689
350	2.36879	2.96541
349	2.35489	2.74434
348	2.32126	3.00715
347	2.36012	3.09196
346	2.59905	2.95755
345	2.54693	2.86062
344	2.60651	3.01685
343	2.65031	2.73563
342	2.59758	2.46719
341	2.71288	2.68883
340	2.60698	2.49177
339	2.50332	2.58092
338	2.19121	2.53949
337	2.2302	2.52575
336	2.21756	2.37888
335	2.71875	2.36446
334	2.13704	2.33604
333	2.35246	2.42057
332	2.41508	2.36278
331	2.54655	2.2278
330	2.57329	2.07274
329	2.70606	2.1755
328	2.31656	1.99745
327	2.12628	1.7943
326	2.29782	1.96122
325	2.2303	2.00876
324	2.15477	2.0875
323	1.89309	2.1237
322	1.76583	2.20597
321	1.62213	2.15064
320	1.71807	1.87231
319	1.57892	1.91145
318	1.50996	1.85426
317	1.51754	1.74828
316	1.29424	1.35296
315	1.24161	0.755873
314	0.998008	0.774045
313	0.509263	0.0139
312	0.25253	-0.133104
311	-0.0843918	-0.2871
310	-0.345464	-0.545737
309	-0.606012	-0.844258
308	-0.954392	-0.956077
307	-1.2537	-1.01094
306	-1.40135	-1.18303
305	-1.40745	-1.50353
304	-1.75402	-1.63282
303	-2.12312	-1.71124
302	-2.49863	-2.23541
301	-3.04873	-2.65138
300	-3.2271	-2.86513
