TITLE	50% S-JS 20.5 hrs data
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/13
TIME	12:57:47
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    13.09112
MAXY	   105.80533
MINY	   -71.20193
XYDATA
Channel 1
	0.5	1.5
468	-55.3285	-56.4061
467	-54.2683	-55.5408
466	-53.2838	-54.4333
465	-52.2875	-53.4538
464	-51.2793	-52.0873
463	-50.4796	-51.1305
462	-49.2264	-49.8814
461	-47.8395	-48.6238
460	-46.5361	-47.2911
459	-45.2589	-45.8214
458	-43.8726	-44.7482
457	-42.5785	-43.1039
456	-41.3194	-41.7282
455	-39.8467	-40.1044
454	-38.4307	-38.7659
453	-37.5168	-37.7916
452	-36.4671	-36.7609
451	-35.6008	-35.834
450	-34.3433	-34.8444
449	-33.4949	-33.9539
448	-32.5939	-32.9461
447	-31.5003	-32.2182
446	-30.6629	-31.5126
445	-29.6035	-30.4787
444	-28.5104	-29.6265
443	-27.4905	-28.445
442	-26.8398	-27.4971
441	-26.0564	-26.5965
440	-25.3936	-26.0735
439	-24.5496	-25.2344
438	-23.5378	-24.1181
437	-22.7435	-23.3171
436	-22.0671	-22.4225
435	-21.3694	-21.5759
434	-20.6026	-20.9093
433	-19.7369	-20.1841
432	-18.6643	-19.2921
431	-18.1253	-18.6606
430	-17.7657	-18.4158
429	-17.3241	-17.9674
428	-16.6994	-17.498
427	-16.3375	-17.1103
426	-15.9542	-16.8035
425	-15.6107	-16.4018
424	-15.545	-15.8286
423	-15.2201	-15.4854
422	-14.7524	-14.7708
421	-14.5408	-14.5181
420	-14.2536	-14.0212
419	-13.8713	-13.8155
418	-13.5278	-13.325
417	-13.2144	-13.1152
416	-12.9009	-12.6516
415	-12.5589	-12.3196
414	-12.6677	-12.382
413	-12.7571	-12.2392
412	-12.7136	-12.1407
411	-12.3895	-11.8792
410	-12.1964	-11.8632
409	-12.082	-11.8835
408	-12.0529	-12.1137
407	-12.0818	-12.1915
406	-11.994	-12.0517
405	-11.9571	-12.1797
404	-11.543	-12.0838
403	-11.6651	-12.0121
402	-11.9502	-12.3153
401	-12.0557	-12.4311
400	-11.9313	-12.609
399	-11.8418	-12.5475
398	-12.0484	-12.5537
397	-12.019	-12.6234
396	-11.9785	-12.275
395	-12.1573	-12.8093
394	-12.1948	-12.7254
393	-12.1077	-12.7724
392	-12.2882	-12.5058
391	-12.607	-12.3651
390	-12.5799	-12.3215
389	-12.9087	-12.3941
388	-12.9744	-12.5105
387	-12.8826	-12.2362
386	-13.1387	-12.5525
385	-13.2922	-12.476
384	-13.3192	-12.5091
383	-13.0602	-12.3767
382	-12.9684	-12.4201
381	-12.6498	-12.5146
380	-12.6547	-12.5689
379	-12.4357	-12.6603
378	-12.0107	-12.2404
377	-11.6079	-12.2263
376	-11.3429	-11.9126
375	-11.1937	-11.5021
374	-10.8766	-11.3422
373	-10.6278	-11.0378
372	-10.6945	-10.8602
371	-10.551	-10.4436
370	-10.8432	-10.3528
369	-11.1403	-10.6619
368	-10.9471	-10.481
367	-10.7709	-10.5386
366	-10.4424	-10.4265
365	-10.4029	-10.664
364	-10.3424	-10.4839
363	-10.1618	-10.4506
362	-9.76561	-10.4909
361	-9.37367	-10.2373
360	-9.42614	-9.91696
359	-9.43278	-9.80483
358	-9.46611	-9.72958
357	-9.38549	-10.0165
356	-9.44796	-9.84115
355	-9.42243	-9.94956
354	-9.47207	-9.72066
353	-9.18262	-9.87225
352	-8.75272	-9.32302
351	-8.41883	-9.36745
350	-8.22605	-9.08179
349	-7.98137	-8.49258
348	-7.49261	-7.80879
347	-7.07305	-7.23995
346	-6.48442	-6.70268
345	-6.30521	-6.08525
344	-5.91848	-5.78347
343	-5.66234	-5.4017
342	-5.01024	-4.62778
341	-4.40487	-4.04939
340	-4.34482	-3.89861
339	-3.98491	-3.52871
338	-3.70683	-3.11495
337	-3.55897	-2.85424
336	-3.24818	-2.46851
335	-2.90882	-2.22217
334	-2.5944	-2.14241
333	-2.24769	-1.79685
332	-1.79244	-1.4151
331	-1.47558	-1.30378
330	-0.940361	-1.01404
329	-0.391558	-0.530625
328	0.139973	-0.151933
327	0.604252	0.568089
326	0.943203	1.32024
325	1.1185	1.67791
324	1.25337	1.88466
323	1.88878	2.45877
322	2.29744	2.81539
321	2.17063	2.9813
320	2.13134	3.28263
319	2.29368	3.11154
318	2.49058	3.05655
317	2.35011	2.79036
316	2.46202	2.79872
315	2.55702	2.85331
314	2.03818	2.56437
313	2.06663	2.49995
312	2.23445	2.22202
311	2.26552	2.02153
310	1.63441	1.66924
309	1.65934	1.69775
308	1.41814	1.24826
307	1.0429	1.11251
306	0.806512	0.943525
305	-0.2958	-0.205501
304	-1.14315	-1.01445
303	-2.03772	-2.01872
302	-2.81726	-2.73772
301	-4.10983	-3.78319
300	-5.26279	-4.98511
Channel 4
	0.5	1.5
700	13.0911	14.0178
699	13.487	13.7833
698	13.6457	13.8911
697	13.4709	13.9678
696	14.0061	14.2247
695	14.4228	14.9766
694	14.2251	15.0696
693	14.2456	15.1395
692	14.3368	14.7176
691	14.2916	14.7232
690	14.5988	14.5376
689	14.8965	14.7865
688	14.7286	14.8288
687	14.6951	14.5204
686	14.6065	14.3861
685	14.644	14.4097
684	14.7369	14.5603
683	15.2964	15.4563
682	15.251	15.7672
681	15.2872	15.9631
680	15.4862	16.261
679	15.4742	15.9589
678	15.783	16.3653
677	15.7463	16.5626
676	16.2316	16.89
675	16.0628	16.5179
674	16.266	16.4979
673	16.407	16.4158
672	16.6081	16.8553
671	16.8829	17.2344
670	17.5311	17.63
669	17.8381	17.8821
668	17.5982	17.8121
667	18.1642	18.1883
666	18.62	18.6253
665	19.0414	18.8074
664	19.3448	19.1194
663	19.4309	19.2188
662	19.5347	19.6033
661	19.6665	19.9233
660	20.3039	21.0714
659	20.0785	21.3591
658	20.3072	21.8724
657	20.2989	22.266
656	20.4053	22.6283
655	20.9626	23.069
654	21.2445	22.8671
653	21.7977	23.0044
652	22.4862	23.4071
651	23.1673	23.6581
650	23.4918	23.5359
649	24.1397	24.1475
648	24.7466	24.478
647	25.1398	25.0244
646	25.6152	25.4623
645	26.0483	25.6574
644	25.7412	25.4068
643	26.0697	26.1393
642	26.1713	26.2839
641	26.871	26.6791
640	27.2732	27.4396
639	27.8069	27.3317
638	28.026	28.0424
637	28.4034	28.1973
636	28.8197	28.6941
635	29.3944	28.8751
634	30.3395	29.7439
633	30.292	30.0515
632	31.144	30.8589
631	31.5586	31.5584
630	32.5075	32.5603
629	33.2286	33.7741
628	34.2944	34.9916
627	34.3165	35.452
626	35.179	35.9517
625	36.3329	36.9553
624	37.1835	37.7643
623	38.3929	38.4895
622	39.1338	39.3949
621	40.072	40.3371
620	41.0694	41.0764
619	42.6576	42.3301
618	43.4134	43.6732
617	44.9384	45.3159
616	45.7744	46.922
615	46.6185	47.9037
614	47.6439	49.0907
613	48.9243	50.1317
612	49.6504	51.0394
611	51.4204	52.5757
610	53.1246	53.8557
609	54.1156	55.2756
608	55.2978	56.7009
607	56.9729	58.0154
606	58.7101	59.7656
605	60.6651	62.0298
604	62.4906	64.0945
603	64.1518	66.1594
602	65.943	68.251
601	68.19	70.7929
600	70.7404	73
599	73.308	75.5445
598	75.9908	78.4674
597	78.2949	80.5226
596	81.2353	83.5182
595	84.1092	86.15
594	87.2759	89.178
593	90.1058	91.8918
592	93.3449	94.7727
591	95.6765	97.1736
590	98.0213	99.0805
589	100.289	101.403
588	102.543	103.064
587	104.048	104.739
586	105.08	105.997
585	105.688	107.068
584	105.805	107.176
583	105.724	107.169
582	105.7	107.187
581	104.769	106.142
580	102.961	104.971
579	101.333	102.695
578	98.7477	100.229
577	96.135	97.2621
576	93.1525	93.988
575	89.9618	90.691
574	86.5043	86.9285
573	82.8586	83.7471
572	79.8638	80.4362
571	77.1144	77.3367
570	74.112	74.6618
569	71.1699	71.7523
568	68.6873	68.7605
567	66.7975	66.9755
566	64.7205	65.0521
565	63.5903	63.6745
564	62.7363	62.6458
563	61.695	62.2486
562	61.5055	62.0603
561	61.2773	61.5533
560	61.5367	62.3342
559	61.6962	62.751
558	62.5909	63.4847
557	63.0258	64.2235
556	63.9406	65.0213
555	64.815	66.0065
554	65.9263	67.3898
553	66.8663	67.9639
552	67.2505	68.5319
551	68.1321	69.4009
550	68.1835	69.6732
549	68.6846	69.2167
548	68.2325	69.0023
547	67.9725	68.7375
546	66.882	67.0099
545	65.0615	65.3356
544	63.7653	63.9587
543	61.4733	61.3475
542	58.5714	58.217
541	55.3735	55.1374
540	51.6318	51.8012
539	47.5444	47.93
538	43.8656	44.6284
537	39.5513	40.0747
536	35.1644	35.1752
535	30.368	30.7699
534	26.2837	26.1617
533	22.4757	22.1898
532	18.7258	17.7774
531	14.3559	12.9546
530	10.2901	8.90207
529	6.21211	5.7354
528	3.48853	3.08849
527	0.57741	-0.00170809
526	-2.23972	-2.60469
525	-4.9664	-4.97857
524	-7.47464	-6.88473
523	-9.55064	-8.83933
522	-11.6282	-11.1485
521	-13.1439	-13.3631
520	-14.6363	-14.9575
519	-17.1438	-17.0907
518	-19.2045	-19.1146
517	-20.9962	-21.2414
516	-23.5169	-23.2291
515	-25.4199	-25.1543
514	-27.7626	-27.4001
513	-30.1057	-29.3318
512	-33.0824	-31.947
511	-35.0208	-33.9386
510	-37.2874	-35.9712
509	-40.0242	-38.5753
508	-42.5886	-41.6285
507	-45.3466	-44.3961
506	-48.0079	-46.8711
505	-50.9439	-50.0168
504	-53.3922	-52.6347
503	-56.6935	-55.3047
502	-58.5388	-57.9109
501	-61.069	-60.63
500	-63.6528	-63.0101
499	-65.6733	-64.8271
498	-67.4207	-66.777
497	-68.3173	-68.1054
496	-69.1253	-69.2438
495	-69.8758	-70.3045
494	-70.6514	-70.88
493	-71.2019	-71.3046
492	-70.85	-70.9783
491	-70.6388	-70.8802
490	-69.9635	-70.609
489	-69.5365	-70.2028
488	-69.1585	-69.5499
487	-68.5668	-68.9509
486	-68.1784	-68.4227
485	-67.3499	-67.9179
484	-66.6918	-67.1931
483	-66.0292	-66.576
482	-65.7249	-66.1464
481	-65.3107	-65.3736
480	-64.4959	-64.5859
479	-64.0488	-64.0784
478	-63.279	-63.3897
477	-62.6056	-62.8147
476	-62.0333	-62.1243
475	-61.4635	-61.674
474	-60.8361	-60.9999
473	-59.8236	-60.379
472	-58.834	-59.61
471	-57.4564	-58.6974
470	-56.8819	-57.9986
469	-56.3564	-57.3135
468	-55.3285	-56.4061
467	-54.2683	-55.5408
466	-53.2838	-54.4333
465	-52.2875	-53.4538
464	-51.2793	-52.0873
463	-50.4796	-51.1305
462	-49.2264	-49.8814
461	-47.8395	-48.6238
460	-46.5361	-47.2911
459	-45.2589	-45.8214
458	-43.8726	-44.7482
457	-42.5785	-43.1039
456	-41.3194	-41.7282
455	-39.8467	-40.1044
454	-38.4307	-38.7659
453	-37.5168	-37.7916
452	-36.4671	-36.7609
451	-35.6008	-35.834
450	-34.3433	-34.8444
449	-33.4949	-33.9539
448	-32.5939	-32.9461
447	-31.5003	-32.2182
446	-30.6629	-31.5126
445	-29.6035	-30.4787
444	-28.5104	-29.6265
443	-27.4905	-28.445
442	-26.8398	-27.4971
441	-26.0564	-26.5965
440	-25.3936	-26.0735
439	-24.5496	-25.2344
438	-23.5378	-24.1181
437	-22.7435	-23.3171
436	-22.0671	-22.4225
435	-21.3694	-21.5759
434	-20.6026	-20.9093
433	-19.7369	-20.1841
432	-18.6643	-19.2921
431	-18.1253	-18.6606
430	-17.7657	-18.4158
429	-17.3241	-17.9674
428	-16.6994	-17.498
427	-16.3375	-17.1103
426	-15.9542	-16.8035
425	-15.6107	-16.4018
424	-15.545	-15.8286
423	-15.2201	-15.4854
422	-14.7524	-14.7708
421	-14.5408	-14.5181
420	-14.2536	-14.0212
419	-13.8713	-13.8155
418	-13.5278	-13.325
417	-13.2144	-13.1152
416	-12.9009	-12.6516
415	-12.5589	-12.3196
414	-12.6677	-12.382
413	-12.7571	-12.2392
412	-12.7136	-12.1407
411	-12.3895	-11.8792
410	-12.1964	-11.8632
409	-12.082	-11.8835
408	-12.0529	-12.1137
407	-12.0818	-12.1915
406	-11.994	-12.0517
405	-11.9571	-12.1797
404	-11.543	-12.0838
403	-11.6651	-12.0121
402	-11.9502	-12.3153
401	-12.0557	-12.4311
400	-11.9313	-12.609
399	-11.8418	-12.5475
398	-12.0484	-12.5537
397	-12.019	-12.6234
396	-11.9785	-12.275
395	-12.1573	-12.8093
394	-12.1948	-12.7254
393	-12.1077	-12.7724
392	-12.2882	-12.5058
391	-12.607	-12.3651
390	-12.5799	-12.3215
389	-12.9087	-12.3941
388	-12.9744	-12.5105
387	-12.8826	-12.2362
386	-13.1387	-12.5525
385	-13.2922	-12.476
384	-13.3192	-12.5091
383	-13.0602	-12.3767
382	-12.9684	-12.4201
381	-12.6498	-12.5146
380	-12.6547	-12.5689
379	-12.4357	-12.6603
378	-12.0107	-12.2404
377	-11.6079	-12.2263
376	-11.3429	-11.9126
375	-11.1937	-11.5021
374	-10.8766	-11.3422
373	-10.6278	-11.0378
372	-10.6945	-10.8602
371	-10.551	-10.4436
370	-10.8432	-10.3528
369	-11.1403	-10.6619
368	-10.9471	-10.481
367	-10.7709	-10.5386
366	-10.4424	-10.4265
365	-10.4029	-10.664
364	-10.3424	-10.4839
363	-10.1618	-10.4506
362	-9.76561	-10.4909
361	-9.37367	-10.2373
360	-9.42614	-9.91696
359	-9.43278	-9.80483
358	-9.46611	-9.72958
357	-9.38549	-10.0165
356	-9.44796	-9.84115
355	-9.42243	-9.94956
354	-9.47207	-9.72066
353	-9.18262	-9.87225
352	-8.75272	-9.32302
351	-8.41883	-9.36745
350	-8.22605	-9.08179
349	-7.98137	-8.49258
348	-7.49261	-7.80879
347	-7.07305	-7.23995
346	-6.48442	-6.70268
345	-6.30521	-6.08525
344	-5.91848	-5.78347
343	-5.66234	-5.4017
342	-5.01024	-4.62778
341	-4.40487	-4.04939
340	-4.34482	-3.89861
339	-3.98491	-3.52871
338	-3.70683	-3.11495
337	-3.55897	-2.85424
336	-3.24818	-2.46851
335	-2.90882	-2.22217
334	-2.5944	-2.14241
333	-2.24769	-1.79685
332	-1.79244	-1.4151
331	-1.47558	-1.30378
330	-0.940361	-1.01404
329	-0.391558	-0.530625
328	0.139973	-0.151933
327	0.604252	0.568089
326	0.943203	1.32024
325	1.1185	1.67791
324	1.25337	1.88466
323	1.88878	2.45877
322	2.29744	2.81539
321	2.17063	2.9813
320	2.13134	3.28263
319	2.29368	3.11154
318	2.49058	3.05655
317	2.35011	2.79036
316	2.46202	2.79872
315	2.55702	2.85331
314	2.03818	2.56437
313	2.06663	2.49995
312	2.23445	2.22202
311	2.26552	2.02153
310	1.63441	1.66924
309	1.65934	1.69775
308	1.41814	1.24826
307	1.0429	1.11251
306	0.806512	0.943525
305	-0.2958	-0.205501
304	-1.14315	-1.01445
303	-2.03772	-2.01872
302	-2.81726	-2.73772
301	-4.10983	-3.78319
300	-5.26279	-4.98511
