TITLE	100% R-JS before DT
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/14
TIME	11:40:54
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.17076
MAXY	    68.29622
MINY	   -94.21814
XYDATA
Channel 1
	0.5	1.5
686	-1.37871	-2.38786
685	-1.48503	-2.34539
684	-0.922105	-1.86261
683	-0.956079	-1.72594
682	-0.835811	-1.42842
681	-0.462648	-1.17311
680	-0.543058	-0.899142
679	0.236215	-0.511141
678	0.329428	-0.771329
677	0.182422	-0.899849
676	0.389088	-0.606222
675	0.571832	-0.441717
674	0.247536	-1.09524
673	-0.195451	-1.6165
672	-0.183867	-1.67765
671	-0.713088	-1.49415
670	-1.08439	-1.39911
669	-0.634371	-1.28693
668	-0.0899813	-1.40603
667	0.333777	-1.31358
666	0.0701422	-1.17384
665	0.018267	-0.985446
664	0.378695	-0.58033
663	0.764181	-0.876868
662	0.79288	-0.646368
661	0.41312	-0.0532647
660	0.172063	-0.135018
659	-0.158712	-0.357248
658	0.402347	-0.312399
657	0.699701	0.0923933
656	0.188566	-0.289184
655	-0.0794494	-0.0463198
654	-0.229259	-0.0493513
653	-0.459731	-0.344447
652	-0.0960461	-0.39152
651	-0.479593	-0.229795
650	-0.500749	-0.0564066
649	-0.421709	-0.310915
648	-0.134427	-0.343166
647	-0.455221	-0.192203
646	0.194248	-0.0136165
645	0.581373	0.0310165
644	0.192471	0.096027
643	0.534889	0.00925891
642	0.586146	-0.196408
641	0.43458	-0.252842
640	0.349525	0.227064
639	1.07285	0.620594
638	1.06185	0.48524
637	0.845698	1.00732
636	1.44402	1.72419
635	1.18006	1.60552
634	1.10733	2.08762
633	1.04846	2.06906
632	1.1318	2.08806
631	1.39974	2.32625
630	1.27497	2.54707
629	1.57295	2.63442
628	1.74255	1.89123
627	1.421	2.20282
626	1.79569	2.36765
625	2.47589	3.04897
624	2.75214	3.07722
623	2.63574	2.69239
622	2.29164	2.7849
621	2.74564	3.05115
620	2.18485	2.88457
619	1.82251	2.82636
618	2.06469	2.98437
617	2.13005	3.07223
616	1.98369	3.06781
615	2.02917	3.36136
614	2.74309	3.0575
613	2.75843	3.01665
612	3.66334	3.50583
611	4.08375	3.4937
610	4.37656	3.81528
609	4.188	3.27771
608	4.10303	3.37072
607	4.17856	3.21323
606	3.9089	3.25882
605	3.77032	3.47339
604	3.12905	3.2961
603	2.96446	3.06487
602	2.49717	2.75976
601	2.48213	3.59625
600	2.86302	3.79942
599	2.70495	4.2322
598	2.57578	3.91613
597	2.43565	3.70602
596	1.94249	3.17571
595	1.46388	3.15817
594	1.64769	2.90268
593	1.03103	1.96868
592	0.38048	0.99449
591	-0.211051	0.402229
590	-0.602324	0.0214111
589	-1.17865	-0.705012
588	-1.66361	-1.54465
587	-2.07659	-2.74661
586	-3.39176	-3.83552
585	-4.88283	-5.31742
584	-5.7517	-6.70596
583	-7.32445	-8.29812
582	-9.20851	-11.0044
581	-11.6768	-13.445
580	-14.4959	-16.2564
579	-17.8295	-19.4499
578	-21.4619	-22.4377
577	-25.6557	-27.0695
576	-30.712	-31.4871
575	-36.4005	-36.2258
574	-41.9316	-42.0691
573	-47.6346	-47.7198
572	-53.8965	-53.9405
571	-60.197	-60.3141
570	-67.2013	-67.4924
569	-73.7068	-73.7201
568	-79.7815	-79.1229
567	-84.3295	-85.1559
566	-88.2557	-88.5109
565	-91.6247	-92.2254
564	-93.3343	-94.1286
563	-94.2181	-94.6879
562	-93.5344	-94.1718
561	-92.754	-92.5854
560	-89.9805	-90.1935
559	-86.6705	-86.934
558	-82.9584	-83.3693
557	-79.5299	-80.2205
556	-75.2617	-75.5203
555	-71.7114	-71.297
554	-68.6077	-67.7446
553	-65.217	-64.4463
552	-63.3184	-61.8551
551	-60.9589	-60.0683
550	-59.5053	-58.0547
549	-59.1225	-57.1099
548	-58.4751	-56.4119
547	-58.3306	-55.9605
546	-58.4377	-56.6789
545	-58.8923	-57.6607
544	-60.0306	-59.2346
543	-61.557	-61.3674
542	-63.8843	-63.3961
541	-66.0896	-66.0097
540	-68.1442	-68.8362
539	-70.7222	-70.8793
538	-73.2521	-74.0814
537	-75.8172	-75.5186
536	-77.5096	-77.946
535	-80.0728	-79.4033
534	-81.6183	-80.3314
533	-82.5324	-81.4712
532	-84.0461	-81.6881
531	-84.8605	-81.4007
530	-84.1567	-81.0065
529	-82.8921	-80.0341
528	-81.5414	-78.5558
527	-78.9671	-76.1894
526	-76.4519	-74.4959
525	-73.2583	-71.0903
524	-69.4496	-67.3011
523	-65.4802	-63.8411
522	-61.3579	-59.6203
521	-56.5331	-55.4997
520	-52.0757	-51.5383
519	-47.6379	-47.4898
518	-43.7548	-42.2495
517	-39.5211	-38.232
516	-35.1823	-33.788
515	-31.5331	-30.1509
514	-28.4757	-28.3169
513	-26.2986	-26.3768
512	-23.5398	-23.1202
511	-21.7491	-20.4452
510	-19.013	-18.4065
509	-16.4423	-15.8067
508	-15.308	-14.5309
507	-12.4453	-11.6723
506	-10.4233	-9.57239
505	-8.44945	-6.71507
504	-5.66778	-4.56446
503	-3.0039	-1.86598
502	-0.17505	0.282564
501	2.35166	2.76639
500	5.65124	5.27167
499	10.0586	9.1549
498	13.0967	12.1819
497	17.0195	15.7048
496	20.2172	18.949
495	23.5717	23.6758
494	27.449	28.2187
493	31.5333	32.3839
492	35.5798	36.5467
491	38.8056	40.0836
490	43.0284	44.8122
489	46.3216	47.7202
488	50.1467	51.2547
487	52.9288	53.294
486	55.3108	55.4399
485	57.4259	57.5629
484	60.3443	59.3294
483	61.6891	60.6947
482	63.5886	61.9333
481	64.5364	63.7026
480	65.3604	64.5056
479	66.4643	66.2137
478	66.6718	66.3688
477	67.112	66.5015
476	67.9991	66.751
475	68.0972	67.1233
474	68.2962	66.9332
473	68.0835	66.897
472	67.7063	66.853
471	67.3395	66.9663
470	67.4453	67.2641
469	67.1016	66.72
468	66.2537	66.5933
467	65.7025	65.7384
466	65.1945	64.8847
465	64.5901	64.4815
464	63.7332	63.1941
463	62.7641	61.6948
462	61.4897	60.2941
461	60.1494	59.0311
460	58.4725	57.4072
459	56.6723	56.2148
458	55.089	55.1667
457	53.4954	53.5201
456	51.828	51.8763
455	50.0969	49.7087
454	48.2494	47.8034
453	46.309	45.5909
452	44.3624	43.9527
451	42.8367	42.6698
450	40.6268	40.7256
449	39.4172	38.9685
448	37.8529	37.6534
447	36.3488	36.1188
446	35.2419	34.9901
445	33.7475	33.7556
444	32.5545	32.5858
443	31.2202	31.0442
442	30.4996	29.8441
441	28.9599	28.5592
440	27.8653	27.4462
439	26.3878	25.9935
438	24.5622	24.8219
437	23.7447	23.5484
436	22.4144	22.2019
435	21.4672	21.3194
434	20.239	20.6642
433	19.5335	19.6315
432	18.3565	18.6994
431	17.2913	17.8329
430	16.5428	16.6396
429	15.6256	15.5786
428	14.8693	14.9951
427	14.0608	14.0519
426	13.4352	13.0946
425	12.8281	12.1882
424	11.9033	11.4328
423	11.0218	10.4833
422	10.4316	10.0054
421	9.65443	9.49925
420	8.87816	8.50735
419	8.33815	8.13889
418	7.95439	7.79179
417	7.56645	7.2206
416	6.98606	6.88871
415	6.56402	6.60313
414	6.04177	5.87262
413	5.93529	5.71864
412	5.67347	5.58873
411	5.53225	5.14545
410	5.03669	4.7808
409	4.37336	4.22884
408	3.93175	3.99483
407	3.55368	3.68567
406	3.53518	3.42321
405	3.23858	3.05413
404	3.05335	2.84757
403	2.77676	2.66525
402	2.79474	2.54191
401	2.65116	2.23593
400	2.77703	1.93518
399	2.58207	1.80371
398	2.52363	1.57499
397	2.32782	1.67099
396	2.07346	1.76335
395	1.96269	1.63058
394	1.74364	1.34747
393	1.47043	1.46679
392	1.23253	1.39076
391	1.22853	1.33489
390	0.878344	1.12855
389	0.598018	1.00362
388	0.579381	0.62686
387	0.279022	0.389202
386	0.333542	0.31803
385	0.138679	0.21232
384	-0.027798	0.108725
383	-0.126113	-0.0643316
382	-0.16186	-0.224012
381	-0.589513	-0.346218
380	-0.923257	-0.530263
379	-0.794957	-0.608075
378	-0.609313	-0.571631
377	-0.639919	-0.428206
376	-0.698445	-0.790915
375	-0.616608	-0.744173
374	-0.309842	-0.574774
373	-0.366411	-0.694135
372	0.0528616	-0.426444
371	-0.00243914	-0.411382
370	-0.117579	-0.609726
369	-0.107484	-0.504553
368	-0.273416	-0.586923
367	-0.45187	-0.388602
366	-0.564757	-0.457365
365	-0.444666	-0.36213
364	-0.448265	-0.504888
363	-0.52243	-0.596511
362	-0.41572	-0.393576
361	-0.616233	-0.277925
360	-0.674863	-0.493518
359	-0.429413	-0.432669
358	-0.45797	-0.455044
357	-0.589388	-0.570273
356	-0.68995	-0.647028
355	-0.842935	-0.59348
354	-0.790818	-0.74521
353	-0.640796	-0.862224
352	-0.369896	-0.6881
351	-0.292057	-0.546316
350	-0.476534	-0.697773
349	-0.478965	-0.48965
348	-0.372078	-0.51181
347	0.0973283	-0.323004
346	0.0370186	-0.101638
345	-0.129589	-0.0259802
344	-0.288677	-0.219435
343	-0.0691819	0.119644
342	0.184986	0.378543
341	0.187907	0.215479
340	0.433195	0.230431
339	0.299438	0.280789
338	0.386828	0.491635
337	0.58727	0.526222
336	0.576412	0.963876
335	0.154985	0.870165
334	0.169651	0.565942
333	-0.238091	0.368942
332	-0.546888	0.316097
331	-0.549042	0.270753
330	-0.277587	0.27604
329	-0.288916	0.224138
328	-0.642303	0.0971937
327	-0.0363612	0.402962
326	0.353239	0.484897
325	0.238532	0.474351
324	0.687975	0.928955
323	0.964751	1.03067
322	1.17981	1.46278
321	1.21297	1.84322
320	1.6339	2.04732
319	1.74578	2.03986
318	1.81918	2.25383
317	1.97065	2.52526
316	2.35486	2.79007
315	2.40645	3.18605
314	2.37451	3.23771
313	2.46398	3.39739
312	2.3155	3.35972
311	2.57897	3.68772
310	3.0754	4.12156
309	3.23106	4.03512
308	3.43857	4.16206
307	3.91683	4.44735
306	4.11073	4.52675
305	4.86501	5.09049
304	5.5549	5.37374
303	6.47258	6.23303
302	7.03229	6.98279
301	7.83207	7.6802
300	8.86212	8.66954
Channel 4
	0.5	1.5
700	-1.17076	-1.56882
699	-1.13731	-1.06506
698	-1.79198	-1.38584
697	-1.86531	-1.22844
696	-1.90332	-1.41656
695	-1.93926	-1.42454
694	-1.83586	-1.76232
693	-1.43666	-1.19989
692	-1.81108	-2.38348
691	-2.00226	-2.54201
690	-1.60815	-2.538
689	-1.3373	-2.21934
688	-1.42535	-2.41647
687	-1.61585	-2.98579
686	-1.37871	-2.38786
685	-1.48503	-2.34539
684	-0.922105	-1.86261
683	-0.956079	-1.72594
682	-0.835811	-1.42842
681	-0.462648	-1.17311
680	-0.543058	-0.899142
679	0.236215	-0.511141
678	0.329428	-0.771329
677	0.182422	-0.899849
676	0.389088	-0.606222
675	0.571832	-0.441717
674	0.247536	-1.09524
673	-0.195451	-1.6165
672	-0.183867	-1.67765
671	-0.713088	-1.49415
670	-1.08439	-1.39911
669	-0.634371	-1.28693
668	-0.0899813	-1.40603
667	0.333777	-1.31358
666	0.0701422	-1.17384
665	0.018267	-0.985446
664	0.378695	-0.58033
663	0.764181	-0.876868
662	0.79288	-0.646368
661	0.41312	-0.0532647
660	0.172063	-0.135018
659	-0.158712	-0.357248
658	0.402347	-0.312399
657	0.699701	0.0923933
656	0.188566	-0.289184
655	-0.0794494	-0.0463198
654	-0.229259	-0.0493513
653	-0.459731	-0.344447
652	-0.0960461	-0.39152
651	-0.479593	-0.229795
650	-0.500749	-0.0564066
649	-0.421709	-0.310915
648	-0.134427	-0.343166
647	-0.455221	-0.192203
646	0.194248	-0.0136165
645	0.581373	0.0310165
644	0.192471	0.096027
643	0.534889	0.00925891
642	0.586146	-0.196408
641	0.43458	-0.252842
640	0.349525	0.227064
639	1.07285	0.620594
638	1.06185	0.48524
637	0.845698	1.00732
636	1.44402	1.72419
635	1.18006	1.60552
634	1.10733	2.08762
633	1.04846	2.06906
632	1.1318	2.08806
631	1.39974	2.32625
630	1.27497	2.54707
629	1.57295	2.63442
628	1.74255	1.89123
627	1.421	2.20282
626	1.79569	2.36765
625	2.47589	3.04897
624	2.75214	3.07722
623	2.63574	2.69239
622	2.29164	2.7849
621	2.74564	3.05115
620	2.18485	2.88457
619	1.82251	2.82636
618	2.06469	2.98437
617	2.13005	3.07223
616	1.98369	3.06781
615	2.02917	3.36136
614	2.74309	3.0575
613	2.75843	3.01665
612	3.66334	3.50583
611	4.08375	3.4937
610	4.37656	3.81528
609	4.188	3.27771
608	4.10303	3.37072
607	4.17856	3.21323
606	3.9089	3.25882
605	3.77032	3.47339
604	3.12905	3.2961
603	2.96446	3.06487
602	2.49717	2.75976
601	2.48213	3.59625
600	2.86302	3.79942
599	2.70495	4.2322
598	2.57578	3.91613
597	2.43565	3.70602
596	1.94249	3.17571
595	1.46388	3.15817
594	1.64769	2.90268
593	1.03103	1.96868
592	0.38048	0.99449
591	-0.211051	0.402229
590	-0.602324	0.0214111
589	-1.17865	-0.705012
588	-1.66361	-1.54465
587	-2.07659	-2.74661
586	-3.39176	-3.83552
585	-4.88283	-5.31742
584	-5.7517	-6.70596
583	-7.32445	-8.29812
582	-9.20851	-11.0044
581	-11.6768	-13.445
580	-14.4959	-16.2564
579	-17.8295	-19.4499
578	-21.4619	-22.4377
577	-25.6557	-27.0695
576	-30.712	-31.4871
575	-36.4005	-36.2258
574	-41.9316	-42.0691
573	-47.6346	-47.7198
572	-53.8965	-53.9405
571	-60.197	-60.3141
570	-67.2013	-67.4924
569	-73.7068	-73.7201
568	-79.7815	-79.1229
567	-84.3295	-85.1559
566	-88.2557	-88.5109
565	-91.6247	-92.2254
564	-93.3343	-94.1286
563	-94.2181	-94.6879
562	-93.5344	-94.1718
561	-92.754	-92.5854
560	-89.9805	-90.1935
559	-86.6705	-86.934
558	-82.9584	-83.3693
557	-79.5299	-80.2205
556	-75.2617	-75.5203
555	-71.7114	-71.297
554	-68.6077	-67.7446
553	-65.217	-64.4463
552	-63.3184	-61.8551
551	-60.9589	-60.0683
550	-59.5053	-58.0547
549	-59.1225	-57.1099
548	-58.4751	-56.4119
547	-58.3306	-55.9605
546	-58.4377	-56.6789
545	-58.8923	-57.6607
544	-60.0306	-59.2346
543	-61.557	-61.3674
542	-63.8843	-63.3961
541	-66.0896	-66.0097
540	-68.1442	-68.8362
539	-70.7222	-70.8793
538	-73.2521	-74.0814
537	-75.8172	-75.5186
536	-77.5096	-77.946
535	-80.0728	-79.4033
534	-81.6183	-80.3314
533	-82.5324	-81.4712
532	-84.0461	-81.6881
531	-84.8605	-81.4007
530	-84.1567	-81.0065
529	-82.8921	-80.0341
528	-81.5414	-78.5558
527	-78.9671	-76.1894
526	-76.4519	-74.4959
525	-73.2583	-71.0903
524	-69.4496	-67.3011
523	-65.4802	-63.8411
522	-61.3579	-59.6203
521	-56.5331	-55.4997
520	-52.0757	-51.5383
519	-47.6379	-47.4898
518	-43.7548	-42.2495
517	-39.5211	-38.232
516	-35.1823	-33.788
515	-31.5331	-30.1509
514	-28.4757	-28.3169
513	-26.2986	-26.3768
512	-23.5398	-23.1202
511	-21.7491	-20.4452
510	-19.013	-18.4065
509	-16.4423	-15.8067
508	-15.308	-14.5309
507	-12.4453	-11.6723
506	-10.4233	-9.57239
505	-8.44945	-6.71507
504	-5.66778	-4.56446
503	-3.0039	-1.86598
502	-0.17505	0.282564
501	2.35166	2.76639
500	5.65124	5.27167
499	10.0586	9.1549
498	13.0967	12.1819
497	17.0195	15.7048
496	20.2172	18.949
495	23.5717	23.6758
494	27.449	28.2187
493	31.5333	32.3839
492	35.5798	36.5467
491	38.8056	40.0836
490	43.0284	44.8122
489	46.3216	47.7202
488	50.1467	51.2547
487	52.9288	53.294
486	55.3108	55.4399
485	57.4259	57.5629
484	60.3443	59.3294
483	61.6891	60.6947
482	63.5886	61.9333
481	64.5364	63.7026
480	65.3604	64.5056
479	66.4643	66.2137
478	66.6718	66.3688
477	67.112	66.5015
476	67.9991	66.751
475	68.0972	67.1233
474	68.2962	66.9332
473	68.0835	66.897
472	67.7063	66.853
471	67.3395	66.9663
470	67.4453	67.2641
469	67.1016	66.72
468	66.2537	66.5933
467	65.7025	65.7384
466	65.1945	64.8847
465	64.5901	64.4815
464	63.7332	63.1941
463	62.7641	61.6948
462	61.4897	60.2941
461	60.1494	59.0311
460	58.4725	57.4072
459	56.6723	56.2148
458	55.089	55.1667
457	53.4954	53.5201
456	51.828	51.8763
455	50.0969	49.7087
454	48.2494	47.8034
453	46.309	45.5909
452	44.3624	43.9527
451	42.8367	42.6698
450	40.6268	40.7256
449	39.4172	38.9685
448	37.8529	37.6534
447	36.3488	36.1188
446	35.2419	34.9901
445	33.7475	33.7556
444	32.5545	32.5858
443	31.2202	31.0442
442	30.4996	29.8441
441	28.9599	28.5592
440	27.8653	27.4462
439	26.3878	25.9935
438	24.5622	24.8219
437	23.7447	23.5484
436	22.4144	22.2019
435	21.4672	21.3194
434	20.239	20.6642
433	19.5335	19.6315
432	18.3565	18.6994
431	17.2913	17.8329
430	16.5428	16.6396
429	15.6256	15.5786
428	14.8693	14.9951
427	14.0608	14.0519
426	13.4352	13.0946
425	12.8281	12.1882
424	11.9033	11.4328
423	11.0218	10.4833
422	10.4316	10.0054
421	9.65443	9.49925
420	8.87816	8.50735
419	8.33815	8.13889
418	7.95439	7.79179
417	7.56645	7.2206
416	6.98606	6.88871
415	6.56402	6.60313
414	6.04177	5.87262
413	5.93529	5.71864
412	5.67347	5.58873
411	5.53225	5.14545
410	5.03669	4.7808
409	4.37336	4.22884
408	3.93175	3.99483
407	3.55368	3.68567
406	3.53518	3.42321
405	3.23858	3.05413
404	3.05335	2.84757
403	2.77676	2.66525
402	2.79474	2.54191
401	2.65116	2.23593
400	2.77703	1.93518
399	2.58207	1.80371
398	2.52363	1.57499
397	2.32782	1.67099
396	2.07346	1.76335
395	1.96269	1.63058
394	1.74364	1.34747
393	1.47043	1.46679
392	1.23253	1.39076
391	1.22853	1.33489
390	0.878344	1.12855
389	0.598018	1.00362
388	0.579381	0.62686
387	0.279022	0.389202
386	0.333542	0.31803
385	0.138679	0.21232
384	-0.027798	0.108725
383	-0.126113	-0.0643316
382	-0.16186	-0.224012
381	-0.589513	-0.346218
380	-0.923257	-0.530263
379	-0.794957	-0.608075
378	-0.609313	-0.571631
377	-0.639919	-0.428206
376	-0.698445	-0.790915
375	-0.616608	-0.744173
374	-0.309842	-0.574774
373	-0.366411	-0.694135
372	0.0528616	-0.426444
371	-0.00243914	-0.411382
370	-0.117579	-0.609726
369	-0.107484	-0.504553
368	-0.273416	-0.586923
367	-0.45187	-0.388602
366	-0.564757	-0.457365
365	-0.444666	-0.36213
364	-0.448265	-0.504888
363	-0.52243	-0.596511
362	-0.41572	-0.393576
361	-0.616233	-0.277925
360	-0.674863	-0.493518
359	-0.429413	-0.432669
358	-0.45797	-0.455044
357	-0.589388	-0.570273
356	-0.68995	-0.647028
355	-0.842935	-0.59348
354	-0.790818	-0.74521
353	-0.640796	-0.862224
352	-0.369896	-0.6881
351	-0.292057	-0.546316
350	-0.476534	-0.697773
349	-0.478965	-0.48965
348	-0.372078	-0.51181
347	0.0973283	-0.323004
346	0.0370186	-0.101638
345	-0.129589	-0.0259802
344	-0.288677	-0.219435
343	-0.0691819	0.119644
342	0.184986	0.378543
341	0.187907	0.215479
340	0.433195	0.230431
339	0.299438	0.280789
338	0.386828	0.491635
337	0.58727	0.526222
336	0.576412	0.963876
335	0.154985	0.870165
334	0.169651	0.565942
333	-0.238091	0.368942
332	-0.546888	0.316097
331	-0.549042	0.270753
330	-0.277587	0.27604
329	-0.288916	0.224138
328	-0.642303	0.0971937
327	-0.0363612	0.402962
326	0.353239	0.484897
325	0.238532	0.474351
324	0.687975	0.928955
323	0.964751	1.03067
322	1.17981	1.46278
321	1.21297	1.84322
320	1.6339	2.04732
319	1.74578	2.03986
318	1.81918	2.25383
317	1.97065	2.52526
316	2.35486	2.79007
315	2.40645	3.18605
314	2.37451	3.23771
313	2.46398	3.39739
312	2.3155	3.35972
311	2.57897	3.68772
310	3.0754	4.12156
309	3.23106	4.03512
308	3.43857	4.16206
307	3.91683	4.44735
306	4.11073	4.52675
305	4.86501	5.09049
304	5.5549	5.37374
303	6.47258	6.23303
302	7.03229	6.98279
301	7.83207	7.6802
300	8.86212	8.66954
